[2.7303764262409596, -5.831561213406212]
[2.479757980590585, -9.781699028857147]
[2.264497031111038, 2.1655927100480765]
[2.0849970188350935, -0.8693036403108891]
[1.8608966953128399, 7.103630710005295]
[1.5970191885984044, -2.8080431883292003]
[1.34640074294803, -6.758181003780137]
[1.1002019843190087, -8.721140124936552]
[0.8672622867540479, -4.722563163209407]
[0.6343225891890871, -0.7239862014822636]
[-0.6507157752713725, -3.5406132030454254]
[-0.8792357858149799, 2.4451424529762384]
[-1.1165951704012942, 4.456540720408864]
[-1.3495348679662549, 8.455117682136008]
[-1.595733626595276, 6.4921585609795915]
[-1.846352072245651, 2.5420207455286556]
[-2.0214323975002415, 1.4943030894642102]
[-2.2543720950652024, 5.492880051191355]
[-2.5005708536942235, 3.5299209300349386]
[-2.7511892993445985, -0.420216885415997]
